cluster_id,year,paper_count
0,2013,2
0,2014,2
0,2018,2
0,2019,2
0,2021,2
0,2022,1
0,2024,4
0,2025,1
1,2014,1
1,2017,2
1,2018,1
1,2020,2
1,2024,1
2,2013,1
2,2014,1
2,2015,2
2,2016,1
2,2017,1
2,2018,1
2,2020,1
2,2021,3
2,2022,1
2,2023,1
2,2024,1
2,2025,1
3,2015,1
3,2020,1
3,2021,2
4,2014,2
4,2016,1
4,2019,1
4,2020,1
4,2024,2
5,2014,1
5,2017,1
5,2020,2
5,2023,1
5,2024,1
6,2017,1
6,2018,1
6,2019,1
7,2011,1
7,2014,1
7,2017,4
7,2022,1
7,2024,1
8,2025,4
9,2017,1
9,2018,1
9,2019,1
9,2020,1
9,2024,1
10,2014,1
10,2022,1
10,2024,2
11,2014,1
11,2018,1
11,2021,1
12,2010,1
12,2013,1
